Name : 50lin105
DIMENSION : 105
GTSP_SETS : 50
NODE_COORD_SECTION
1 63  71
2 94  71
3 142  370
4 173  1276
5 205  1213
6 213  69
7 244  69
8 276  630
9 283  732
10 362  69
11 394  69
12 449  370
13 480  1276
14 512  1213
15 528  157
16 583  630
17 591  732
18 638  654
19 638  496
20 638  314
21 638  142
22 669  142
23 677  315
24 677  496
25 677  654
26 709  654
27 709  496
28 709  315
29 701  142
30 764  220
31 811  189
32 843  173
33 858  370
34 890  1276
35 921  1213
36 992  630
37 1000  732
38 1197  1276
39 1228  1213
40 1276  205
41 1299  630
42 1307  732
43 1362  654
44 1362  496
45 1362  291
46 1425  654
47 1425  496
48 1425  291
49 1417  173
50 1488  291
51 1488  496
52 1488  654
53 1551  654
54 1551  496
55 1551  291
56 1614  291
57 1614  496
58 1614  654
59 1732  189
60 1811  1276
61 1843  1213
62 1913  630
63 1921  732
64 2087  370
65 2118  1276
66 2150  1213
67 2189  205
68 2220  189
69 2220  630
70 2228  732
71 2244  142
72 2276  315
73 2276  496
74 2276  654
75 2315  654
76 2315  496
77 2315  315
78 2331  142
79 2346  315
80 2346  496
81 2346  654
82 2362  142
83 2402  157
84 2402  220
85 2480  142
86 2496  370
87 2528  1276
88 2559  1213
89 2630  630
90 2638  732
91 2756  69
92 2787  69
93 2803  370
94 2835  1276
95 2866  1213
96 2906  69
97 2937  69
98 2937  630
99 2945  732
100 3016  1276
101 3055  69
102 3087  69
103 606  220
104 1165  370
105 1780  370
GTSP_SET_SECTION
1 46 -1
2 7 -1
3 53 -1
4 60 -1
5 62 -1
6 73 -1
7 36 -1
8 31 32 -1
9 59 -1
10 20 23 -1
11 93 -1
12 48 55 -1
13 67 -1
14 87 -1
15 41 -1
16 78 -1
17 29 -1
18 16 26 -1
19 68 71 -1
20 12 -1
21 33 -1
22 42 -1
23 64 -1
24 89 -1
25 102 -1
26 69 -1
27 4 -1
28 81 -1
29 94 -1
30 3 -1
31 13 -1
32 8 -1
33 72 77 79 -1
34 44 -1
35 19 -1
36 15 -1
37 70 -1
38 98 -1
39 100 -1
40 1 2 -1
41 38 -1
42 34 -1
43 5 -1
44 96 -1
45 101 -1
46 65 -1
47 40 104 -1
48 91 -1
49 35 -1
50 75 -1
