Name : 10i45-18
DIMENSION : 45
NUMBER_OF_CLUSTERS: 10
NODE_COORD_SECTION
1 801  613
2 524  803
3 426  346
4 807  1163
5 592  328
6 740  465
7 933  502
8 674  553
9 830  824
10 934  1055
11 735  57
12 688  1170
13 1021  542
14 628  595
15 896  987
16 947  861
17 723  938
18 1160  529
19 971  320
20 1004  974
21 791  772
22 580  118
23 463  519
24 386  726
25 528  591
26 733  680
27 876  1045
28 527  834
29 712  181
30 386  937
31 845  876
32 138  820
33 539  573
34 642  756
35 585  588
36 687  865
37 1177  521
38 451  140
39 891  886
40 628  976
41 621  561
42 727  994
43 902  923
44 381  981
45 786  104	
CLUSTER_SECTION:
1 24 -1
2 7 -1
3 19 -1
4 17 -1
5 3 6 33 -1
6 8 14 -1
7 5 -1
8 1 -1
9 9 16 36 -1
10 12 -1
